,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_size,params_learning_rate,params_loss_weight_factor,params_num_layers,params_weight_decay,state
0,0,0.04039800801950038,2025-07-03 12:56:46.232797,2025-07-03 12:57:23.336259,0 days 00:00:37.103462,64,0.24592147648888774,128,0.0020155914082924313,5.564693848331393,1,0.00021406816269018306,COMPLETE
1,1,0.029721971452135083,2025-07-03 12:57:23.338459,2025-07-03 12:57:53.602387,0 days 00:00:30.263928,64,0.3138958290197418,256,0.00026650201548217604,2.2889155135197115,1,3.790377502354126e-05,COMPLETE
2,2,0.07406504028141903,2025-07-03 12:57:53.603555,2025-07-03 12:58:11.663653,0 days 00:00:18.060098,128,0.22316519236128562,256,0.0008302710260760711,7.411038069959018,1,0.0002941840511999469,COMPLETE
3,3,0.08190276504088613,2025-07-03 12:58:11.664797,2025-07-03 12:59:45.114749,0 days 00:01:33.449952,32,0.3463355109074193,64,0.00201169720433281,3.7897119283294582,3,0.0004558457387166712,COMPLETE
4,4,0.23073734324855105,2025-07-03 12:59:45.115725,2025-07-03 13:00:16.150982,0 days 00:00:31.035257,128,0.26017488056098126,128,0.0001543944038146414,11.89726266142691,3,5.31504087621451e-05,COMPLETE
5,5,8.977220544336285,2025-07-03 13:00:16.151888,2025-07-03 13:00:16.934639,0 days 00:00:00.782751,128,0.38230256957452335,64,0.0001472243994559406,5.207064301876139,2,0.00013103884600122758,PRUNED
6,6,0.13471121197437497,2025-07-03 13:00:16.935098,2025-07-03 13:00:38.842636,0 days 00:00:21.907538,32,0.20801520974122797,128,0.00032068803446929826,4.5214861384073295,3,0.000263612717427827,PRUNED
7,7,8.642648716309338,2025-07-03 13:00:38.842974,2025-07-03 13:00:40.679022,0 days 00:00:01.836048,64,0.4928654926200955,256,2.067693317807557e-05,2.6035322131783403,3,3.371931165246612e-05,PRUNED
8,8,2.3119604791359145,2025-07-03 13:00:40.679395,2025-07-03 13:00:41.276944,0 days 00:00:00.597549,128,0.3490505549152638,256,0.00044170962164001885,9.498629462886946,1,0.0004752110533602637,PRUNED
9,9,0.02243790464088496,2025-07-03 13:00:41.277342,2025-07-03 13:01:45.348394,0 days 00:01:04.071052,32,0.26421522003037773,128,0.0020459288220139927,3.084479618774806,1,1.3469478988708396e-05,COMPLETE
10,10,0.7592223743065242,2025-07-03 13:01:45.349371,2025-07-03 13:01:51.277295,0 days 00:00:05.927924,32,0.4102781105460721,128,0.006239255422873831,13.411865342381912,2,1.5202437857996154e-05,PRUNED
11,11,5.441019877326375,2025-07-03 13:01:51.277684,2025-07-03 13:01:52.393294,0 days 00:00:01.115610,64,0.2998335526077042,256,3.609021022868118e-05,2.012570474934745,1,1.003049662070555e-05,PRUNED
12,12,2.3464385778965426,2025-07-03 13:01:52.393697,2025-07-03 13:01:53.879589,0 days 00:00:01.485892,64,0.2906339590530554,256,0.0076065658546846686,7.521694095190356,2,3.0489968046589692e-05,PRUNED
13,13,1.5577414220191408,2025-07-03 13:01:53.879974,2025-07-03 13:01:56.078364,0 days 00:00:02.198390,32,0.3098765299900371,128,6.404079697782014e-05,1.936559453706343,1,2.1262467613560426e-05,PRUNED
14,14,0.6598180574510282,2025-07-03 13:01:56.078737,2025-07-03 13:01:57.042099,0 days 00:00:00.963362,64,0.4248630705971337,64,0.001309889200836157,10.390308940985673,1,6.5220892094821e-05,PRUNED
15,15,1.8042114777351492,2025-07-03 13:01:57.042467,2025-07-03 13:02:00.102684,0 days 00:00:03.060217,32,0.2716363203840402,128,0.00010958337294546261,6.73770760695097,2,0.0009383551560828234,PRUNED
16,16,0.6173737345003046,2025-07-03 13:02:00.103032,2025-07-03 13:02:02.204199,0 days 00:00:02.101167,32,0.32627706380950006,256,0.0034533601088431163,3.475859943021232,1,1.147551185599596e-05,PRUNED
17,17,0.27815314591198836,2025-07-03 13:02:02.204565,2025-07-03 13:02:05.472209,0 days 00:00:03.267644,64,0.3823639746116027,128,0.00100368238222869,6.191519993080798,2,2.437292325201299e-05,PRUNED
18,18,0.03278343287881671,2025-07-03 13:02:05.472574,2025-07-03 13:02:38.442521,0 days 00:00:32.969947,64,0.2417761768518971,256,0.000451882951525613,1.6055581337329492,1,5.8329072323401706e-05,COMPLETE
19,19,0.8531147599867274,2025-07-03 13:02:38.443614,2025-07-03 13:02:41.552701,0 days 00:00:03.109087,32,0.4745121178038896,64,1.192589068275407e-05,8.89942094485896,1,0.00011177562234761803,PRUNED
20,20,0.8548458942402978,2025-07-03 13:02:41.553047,2025-07-03 13:02:43.065035,0 days 00:00:01.511988,64,0.28093249206842863,256,0.003661592713244021,14.836545246301064,2,1.7552489162936984e-05,PRUNED
21,21,0.8374843529477372,2025-07-03 13:02:43.065423,2025-07-03 13:02:44.205388,0 days 00:00:01.139965,64,0.2406752098998633,256,0.0003960331409445961,3.1710482921057235,1,4.356547386750058e-05,PRUNED
22,22,0.03889182103567806,2025-07-03 13:02:44.205803,2025-07-03 13:03:16.444989,0 days 00:00:32.239186,64,0.22700138188074115,256,0.0007008131760484284,1.7331559461899444,1,7.838110997791093e-05,COMPLETE
23,23,1.3871505491769136,2025-07-03 13:03:16.445704,2025-07-03 13:03:17.574217,0 days 00:00:01.128513,64,0.31885607397276877,256,0.0001735657205438629,4.382610869440038,1,4.063691600470181e-05,PRUNED
24,24,0.03964050480839386,2025-07-03 13:03:17.574614,2025-07-03 13:03:49.580579,0 days 00:00:32.005965,64,0.20494167574572353,256,0.0005764223007059525,1.594156417009723,1,7.864282094348081e-05,COMPLETE
25,25,2.2562792462927352,2025-07-03 13:03:49.581670,2025-07-03 13:03:51.728917,0 days 00:00:02.147247,32,0.2574863652808548,128,6.969007795622244e-05,3.0823212413839314,1,1.4879781949690056e-05,PRUNED
26,26,0.6390653189519367,2025-07-03 13:03:51.729312,2025-07-03 13:03:53.320944,0 days 00:00:01.591632,64,0.2802863659391058,256,0.0002770306506273835,4.498925473489565,2,2.792020313117237e-05,PRUNED
27,27,0.02021059326335802,2025-07-03 13:03:53.321315,2025-07-03 13:04:26.245121,0 days 00:00:32.923806,64,0.33665968203605473,256,0.00166520878446792,2.660621852639037,1,0.0001554056920042524,COMPLETE
28,28,0.2754939597812728,2025-07-03 13:04:26.245634,2025-07-03 13:04:28.117105,0 days 00:00:01.871471,32,0.33378827144030393,64,0.0014560571986569756,5.714162984190622,1,0.00014688035116941717,PRUNED
29,29,0.45089620060642505,2025-07-03 13:04:28.117519,2025-07-03 13:04:28.738388,0 days 00:00:00.620869,128,0.3835428565421283,128,0.003335685021498731,5.495341705561673,1,0.00017479526105162159,PRUNED
30,30,0.7540354218783825,2025-07-03 13:04:28.738757,2025-07-03 13:04:30.359266,0 days 00:00:01.620509,64,0.3638043337318149,128,0.0050623652992972555,4.189469294075395,2,9.004266508066817e-05,PRUNED
31,31,0.022522268014400187,2025-07-03 13:04:30.359623,2025-07-03 13:05:02.710916,0 days 00:00:32.351293,64,0.24270420248212898,256,0.002007961440437453,2.6350059491064015,1,5.460088746363001e-05,COMPLETE
32,32,0.016649535271006852,2025-07-03 13:05:02.711630,2025-07-03 13:05:35.580727,0 days 00:00:32.869097,64,0.3022927588173625,256,0.0020876568440257866,2.778134238712102,1,0.0001877575371496073,COMPLETE
33,33,0.7758606880943681,2025-07-03 13:05:35.581805,2025-07-03 13:05:36.698860,0 days 00:00:01.117055,64,0.2643091832900074,256,0.009812670467390554,2.7624591703262684,1,0.0001983517914144036,PRUNED
34,34,0.018585933458307703,2025-07-03 13:05:36.699261,2025-07-03 13:05:57.907845,0 days 00:00:21.208584,64,0.2959065879451293,256,0.0026275092294165904,3.6383809139395433,1,0.00036187918367057946,COMPLETE
35,35,0.06655234611988714,2025-07-03 13:05:57.908440,2025-07-03 13:06:01.689159,0 days 00:00:03.780719,64,0.2990490988206207,256,0.0020866505971748337,3.721868507325862,1,0.00040842867972829916,PRUNED
36,36,1.399559519831167,2025-07-03 13:06:01.689539,2025-07-03 13:06:02.079161,0 days 00:00:00.389622,128,0.3380837998796282,256,0.0024408192790153103,4.915038651695372,1,0.00037378117270251023,PRUNED
37,37,0.34966731298711085,2025-07-03 13:06:02.079503,2025-07-03 13:06:02.647105,0 days 00:00:00.567602,64,0.35912507253909776,64,0.0011958857761555158,3.6447179952718463,1,0.0006334055335435718,PRUNED
38,38,0.00946637866462567,2025-07-03 13:06:02.647419,2025-07-03 13:06:37.498405,0 days 00:00:34.850986,32,0.31269557557385824,256,0.004643019067007569,2.37293149364333,1,0.0002870998475099406,COMPLETE
39,39,0.3694748585712635,2025-07-03 13:06:37.499206,2025-07-03 13:06:37.898530,0 days 00:00:00.399324,128,0.3099444661791638,256,0.004941719675932499,6.492696599342944,1,0.00025366704411289634,PRUNED
40,40,0.2513677577110288,2025-07-03 13:06:37.898889,2025-07-03 13:06:43.202583,0 days 00:00:05.303694,64,0.36636241679336046,256,0.003028990760415384,2.6669495317751997,3,0.00030689767892568443,PRUNED
41,41,0.015766035582256734,2025-07-03 13:06:43.203025,2025-07-03 13:07:21.113809,0 days 00:00:37.910784,32,0.2902370029866815,256,0.0015727726610066965,2.4327395608705986,1,0.0005753052386336285,COMPLETE
42,42,0.014443539630171805,2025-07-03 13:07:21.114364,2025-07-03 13:07:55.967322,0 days 00:00:34.852958,32,0.29232815923020916,256,0.0015637800177528403,2.2973761621376676,1,0.0005854193874725296,COMPLETE
43,43,0.017663535737499514,2025-07-03 13:07:55.967893,2025-07-03 13:08:31.125112,0 days 00:00:35.157219,32,0.2908005644300189,256,0.0009364148921637051,2.282636510576869,1,0.000590977686564608,COMPLETE
44,44,0.08280604478765376,2025-07-03 13:08:31.126722,2025-07-03 13:08:34.662412,0 days 00:00:03.535690,32,0.2798613716912571,256,0.0007911386695652919,2.2608387853343013,1,0.0005959843052963456,PRUNED
45,45,0.019586337753890633,2025-07-03 13:08:34.662749,2025-07-03 13:09:09.681374,0 days 00:00:35.018625,32,0.3140860533921618,256,0.0009353523374739264,2.1237237328333913,1,0.00025214435917094986,COMPLETE
46,46,0.2036350885433937,2025-07-03 13:09:09.681900,2025-07-03 13:09:10.878153,0 days 00:00:01.196253,32,0.2863462549446569,256,0.0047510115103146155,11.049131235442825,1,0.0009233071919300342,PRUNED
47,47,0.24641057842864758,2025-07-03 13:09:10.878457,2025-07-03 13:09:12.071659,0 days 00:00:01.193202,32,0.30377132968889886,256,0.001614875506590925,4.861683284486247,1,0.0005791055129292889,PRUNED
48,48,0.21353117468055424,2025-07-03 13:09:12.072086,2025-07-03 13:09:13.902998,0 days 00:00:01.830912,32,0.32095767947319015,256,0.0005818143188247508,3.9947571876205608,2,0.0004951737373843556,PRUNED
49,49,0.2995360424208835,2025-07-03 13:09:13.903293,2025-07-03 13:09:15.088594,0 days 00:00:01.185301,32,0.253409391600013,256,0.007059589728237227,7.733262341203329,1,0.0007334621042051073,PRUNED
