,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_loss_weight_factor,params_lstm_dropout,params_lstm_hidden_size,params_lstm_num_layers,params_tcn_dropout,params_tcn_kernel_size,params_tcn_num_channels,params_weight_decay,state
0,0,1.87998578385846,2025-05-30 15:10:16.782772,2025-05-30 15:10:53.415612,0 days 00:00:36.632840,64,0.0001507395116851146,4.1661667652620515,0.2201756285712123,32,3,0.2746614132775623,3,"[40, 40, 40]",4.054513577414414e-05,COMPLETE
1,1,2.996496491055424,2025-05-30 15:10:53.416818,2025-05-30 15:11:38.290047,0 days 00:00:44.873229,64,0.004550380581731005,3.4574766270072197,0.2763314796375882,64,3,0.2781821089136014,4,"[30, 30, 30]",7.065694874978239e-05,COMPLETE
2,2,1.6930340262637045,2025-05-30 15:11:38.291563,2025-05-30 15:12:50.975236,0 days 00:01:12.683673,32,0.0005130204799616467,3.3859847854332648,0.2277133613638414,128,3,0.41136658227038675,3,"[40, 40, 40]",0.0002762039205680753,COMPLETE
3,3,1.8852845130401097,2025-05-30 15:12:50.976171,2025-05-30 15:13:19.322341,0 days 00:00:28.346170,64,0.0010426737664900885,3.5104285319309536,0.4689384410732561,64,1,0.4358732700825676,4,"[20, 20, 20]",6.871919437787609e-06,COMPLETE
4,4,1.5280399726573461,2025-05-30 15:13:19.323186,2025-05-30 15:14:01.419880,0 days 00:00:42.096694,64,1.9211622856249477e-05,3.0206215183068017,0.41122856477580444,32,2,0.4446164885579168,2,"[20, 20, 20]",1.437573140746019e-05,COMPLETE
5,5,5.5891427573812145,2025-05-30 15:14:01.420501,2025-05-30 15:14:02.452882,0 days 00:00:01.032381,128,0.0036530907206034067,4.573323197168068,0.2712134236923503,64,2,0.38226470754074926,4,"[30, 60, 120]",0.00024145724513846803,PRUNED
6,6,5.133800903336151,2025-05-30 15:14:02.453270,2025-05-30 15:14:04.085252,0 days 00:00:01.631982,64,0.0011286143842199798,1.7126936950324374,0.37018996084137823,64,2,0.30157583975813634,4,"[30, 60, 120]",0.0005566018749777138,PRUNED
7,7,1.2728408423571593,2025-05-30 15:14:04.085561,2025-05-30 15:15:09.091567,0 days 00:01:05.006006,32,1.4095553604305015e-05,2.262580117042548,0.24232155955925067,64,3,0.44937414871811865,2,"[30, 30, 30]",0.00015373803515697957,COMPLETE
8,8,4.05944531061089,2025-05-30 15:15:09.092526,2025-05-30 15:15:11.395822,0 days 00:00:02.303296,32,0.002506366584773188,2.7538255849170583,0.4523212935379502,64,3,0.48586502115940533,2,"[30, 30, 30]",9.62865607396665e-06,PRUNED
9,9,2.2192703255709536,2025-05-30 15:15:11.396186,2025-05-30 15:15:12.397777,0 days 00:00:01.001591,64,2.017191200773482e-05,4.647656672482173,0.46299280517448727,128,1,0.2975748101599063,2,"[20, 20, 20]",1.4780825295920317e-06,PRUNED
10,10,1.3664844369222366,2025-05-30 15:15:12.398073,2025-05-30 15:15:59.331839,0 days 00:00:46.933766,32,0.00012442947805108094,1.7563060585291799,0.32490787059434306,32,3,0.20241851707077876,2,"[30, 30, 30]",9.73712220002267e-05,COMPLETE
11,11,1.274098652658237,2025-05-30 15:15:59.332417,2025-05-30 15:16:46.267317,0 days 00:00:46.934900,32,9.077833270438588e-05,1.8277143641118005,0.3182008394037598,32,3,0.3504772713493394,2,"[30, 30, 30]",0.0001028783231064391,COMPLETE
12,12,1.422913861322715,2025-05-30 15:16:46.269103,2025-05-30 15:17:35.614003,0 days 00:00:49.344900,32,4.831118619224147e-05,2.3094225163066993,0.3143196145886848,32,3,0.3486700083224089,2,"[30, 30, 30]",0.000910147579948082,COMPLETE
13,13,1.3214263805925517,2025-05-30 15:17:35.614905,2025-05-30 15:18:19.033990,0 days 00:00:43.419085,32,5.510076749114008e-05,2.3255271400187882,0.2677356893661203,32,2,0.48580101717942203,2,"[30, 30, 30]",0.000157136929462217,COMPLETE
14,14,0.9602112596696144,2025-05-30 15:18:19.034542,2025-05-30 15:18:39.933291,0 days 00:00:20.898749,128,1.4382785521569526e-05,1.5074734187458394,0.36089049256184,128,3,0.35013629501627525,2,"[30, 30, 30]",2.9514228988803226e-05,COMPLETE
15,15,1.2756486937936131,2025-05-30 15:18:39.934125,2025-05-30 15:18:59.164401,0 days 00:00:19.230276,128,1.1736609854842159e-05,2.333705246358174,0.3772138784882076,128,2,0.2142805259278562,3,"[30, 30, 30]",3.9721444910540404e-05,COMPLETE
16,16,1.1036960067734625,2025-05-30 15:18:59.164951,2025-05-30 15:19:17.623168,0 days 00:00:18.458217,128,3.402605768056154e-05,1.5070865658920773,0.41766645874580416,128,3,0.36056200356120266,2,"[30, 30, 30]",3.4851236822173843e-06,COMPLETE
17,17,1.0044850446377558,2025-05-30 15:19:17.623697,2025-05-30 15:19:31.648822,0 days 00:00:14.025125,128,3.89159694042022e-05,1.545152212598748,0.4240061868527198,128,1,0.3401034120762591,2,"[40, 40, 40]",2.2241154061768175e-06,COMPLETE
18,18,1.4832825936680771,2025-05-30 15:19:31.649343,2025-05-30 15:19:43.909379,0 days 00:00:12.260036,128,0.00020997337400538083,2.0150501951330413,0.4145519219329912,128,1,0.3255744722784359,2,"[40, 40, 40]",1.1776804090259081e-06,COMPLETE
19,19,1.717519749212817,2025-05-30 15:19:43.909909,2025-05-30 15:19:44.516069,0 days 00:00:00.606160,128,3.050752356004471e-05,2.8941039093805943,0.4943793351251756,128,1,0.3942501847466226,3,"[40, 40, 40]",4.139465501358004e-06,PRUNED
20,20,2.108630323026069,2025-05-30 15:19:44.516387,2025-05-30 15:19:45.121225,0 days 00:00:00.604838,128,0.0003903777021928206,3.982739426722508,0.35968610941645784,128,1,0.24564119625240335,2,"[40, 40, 40]",2.0402839038863543e-05,PRUNED
21,21,1.0708121971443303,2025-05-30 15:19:45.121528,2025-05-30 15:20:02.693695,0 days 00:00:17.572167,128,4.088141370594084e-05,1.5056908640517004,0.40403881679210285,128,2,0.3582350430284301,2,"[30, 60, 120]",2.920775159296223e-06,COMPLETE
22,22,1.1466184501139194,2025-05-30 15:20:02.694506,2025-05-30 15:20:20.299082,0 days 00:00:17.604576,128,6.863370196892246e-05,1.5307263505268434,0.3931059790302761,128,2,0.3225616244395576,2,"[30, 60, 120]",2.1886358259234717e-06,COMPLETE
23,23,1.0305270880505735,2025-05-30 15:20:20.299623,2025-05-30 15:20:36.677377,0 days 00:00:16.377754,128,2.8286282153799758e-05,1.997048074248755,0.4377467455447171,128,1,0.376232095898817,2,"[30, 60, 120]",4.3007321840567385e-06,COMPLETE
24,24,1.5266103294547262,2025-05-30 15:20:36.677916,2025-05-30 15:20:37.383978,0 days 00:00:00.706062,128,1.1052693643462642e-05,2.096837576551222,0.44361249818007864,128,1,0.3940033180374848,2,"[30, 60, 120]",5.9900128317109324e-06,PRUNED
25,25,1.6186743040569596,2025-05-30 15:20:37.384301,2025-05-30 15:20:38.093132,0 days 00:00:00.708831,128,2.311692680696835e-05,2.6160722124007263,0.4350922671708174,128,1,0.3766034220047686,2,"[30, 60, 120]",1.726364909403382e-05,PRUNED
26,26,1.1942218777877815,2025-05-30 15:20:38.093450,2025-05-30 15:20:50.946035,0 days 00:00:12.852585,128,7.897041378989716e-05,1.9539832015787901,0.49430200960160986,128,1,0.32944280454925734,2,"[40, 40, 40]",2.0428097310725187e-06,COMPLETE
27,27,1.4556271005168775,2025-05-30 15:20:50.946557,2025-05-30 15:20:51.558413,0 days 00:00:00.611856,128,0.007882340087118057,1.7747777858604152,0.3411784475021227,128,1,0.4166829799190261,2,"[40, 40, 40]",8.4937472129722e-06,PRUNED
28,28,1.574599023314055,2025-05-30 15:20:51.558731,2025-05-30 15:20:52.385090,0 days 00:00:00.826359,128,0.0002259277391448975,2.074030092306815,0.3862264626719462,128,2,0.3098338801548899,3,"[30, 60, 120]",1.0031224952770856e-06,PRUNED
29,29,1.5746629091741815,2025-05-30 15:20:52.385395,2025-05-30 15:20:52.997569,0 days 00:00:00.612174,128,2.757733606209787e-05,2.559461591729338,0.4305055906378107,128,1,0.2701635022978264,4,"[40, 40, 40]",3.157957149896737e-05,PRUNED
30,30,2.2981130701246486,2025-05-30 15:20:52.997875,2025-05-30 15:20:53.710783,0 days 00:00:00.712908,128,1.57129462341477e-05,3.8793347217686303,0.33921125705845834,128,2,0.33518772860364177,3,"[20, 20, 20]",5.354456255531764e-06,PRUNED
31,31,1.125267543442356,2025-05-30 15:20:53.711080,2025-05-30 15:21:12.107399,0 days 00:00:18.396319,128,3.639940529852635e-05,1.5061701850014941,0.39748462997844913,128,2,0.3667618453307791,2,"[30, 60, 120]",2.515059358976166e-06,COMPLETE
32,32,1.1401523732635084,2025-05-30 15:21:12.107918,2025-05-30 15:21:27.145128,0 days 00:00:15.037210,128,4.679750377540929e-05,1.6892025758964924,0.4105579329477664,128,1,0.3484725314982692,2,"[30, 60, 120]",2.9555881258268813e-06,COMPLETE
33,33,1.070698254241617,2025-05-30 15:21:27.145889,2025-05-30 15:21:44.099654,0 days 00:00:16.953765,128,0.00011142748552809844,1.9186786272131005,0.3610613425754514,128,2,0.41142920148795864,2,"[30, 60, 120]",1.63977806309466e-06,COMPLETE
34,34,1.0545419259592104,2025-05-30 15:21:44.100252,2025-05-30 15:21:58.459369,0 days 00:00:14.359117,128,0.00011362443395570001,1.9306234277121812,0.28965844720329303,128,1,0.42028065775118384,2,"[30, 60, 120]",1.5319251603825613e-06,COMPLETE
35,35,1.355617557210303,2025-05-30 15:21:58.459897,2025-05-30 15:22:10.729306,0 days 00:00:12.269409,128,0.0001695540751880757,2.15847332541065,0.29618680241749606,128,1,0.3894316662554664,4,"[40, 40, 40]",1.2033238868265647e-05,COMPLETE
36,36,2.590746309928817,2025-05-30 15:22:10.729829,2025-05-30 15:22:11.958109,0 days 00:00:01.228280,64,0.0006399680817670154,3.0981720087501006,0.24896611372896066,128,1,0.46395105118717084,2,"[30, 60, 120]",2.7238357999008695e-05,PRUNED
37,37,1.462251958321493,2025-05-30 15:22:11.958438,2025-05-30 15:22:12.569184,0 days 00:00:00.610746,128,1.8434999215315263e-05,2.50488555380181,0.2125554014567933,128,1,0.4295543411826223,4,"[20, 20, 20]",5.446761668016772e-05,PRUNED
38,38,1.567690309982655,2025-05-30 15:22:12.569488,2025-05-30 15:22:13.737289,0 days 00:00:01.167801,64,6.661446937404511e-05,3.323175533603404,0.28891461635018106,64,1,0.40718516547141326,2,"[30, 60, 120]",5.0982521042963276e-06,PRUNED
39,39,2.378811313569636,2025-05-30 15:22:13.737581,2025-05-30 15:22:14.334713,0 days 00:00:00.597132,128,0.0002773443636403399,4.894425048021596,0.47687001364584813,64,1,0.2749647767643194,3,"[40, 40, 40]",1.4700273142551783e-06,PRUNED
40,40,1.189057281524858,2025-05-30 15:22:14.334998,2025-05-30 15:22:30.799787,0 days 00:00:16.464789,128,2.542885783874191e-05,1.6933838975698234,0.29833431414146117,128,1,0.4611265129337274,2,"[30, 60, 120]",4.059692008478916e-06,COMPLETE
41,41,1.1882797678211674,2025-05-30 15:22:30.800344,2025-05-30 15:22:47.605607,0 days 00:00:16.805263,128,0.00011326822493958818,1.9104056822187059,0.3585926493172718,128,2,0.41942760918960453,2,"[30, 60, 120]",1.3998059590508292e-06,COMPLETE
42,42,1.1302125043585844,2025-05-30 15:22:47.606140,2025-05-30 15:23:06.785449,0 days 00:00:19.179309,128,0.00011264034811714743,1.9008147156814381,0.3740131455483033,128,3,0.3761874510717238,2,"[30, 60, 120]",1.8577130390850622e-06,COMPLETE
43,43,1.2716019978520854,2025-05-30 15:23:06.786256,2025-05-30 15:23:23.576297,0 days 00:00:16.790041,128,0.00014707269299308524,2.1882614483553917,0.33565037604992476,128,2,0.40846439093149395,2,"[30, 60, 120]",1.8163438804308683e-06,COMPLETE
44,44,1.1914854993397828,2025-05-30 15:23:23.576833,2025-05-30 15:23:50.890400,0 days 00:00:27.313567,64,9.111693901411329e-05,1.6573037565895032,0.4542010126205705,32,3,0.437357880774424,2,"[20, 20, 20]",6.950096367846233e-06,COMPLETE
45,45,1.938887655944997,2025-05-30 15:23:50.890933,2025-05-30 15:23:51.499949,0 days 00:00:00.609016,128,1.5519352718785093e-05,3.560554442159375,0.3606651488424498,128,1,0.3985595991538183,2,"[30, 30, 30]",1.0063031081899828e-06,PRUNED
46,46,1.3586778027602158,2025-05-30 15:23:51.500261,2025-05-30 15:23:52.398242,0 days 00:00:00.897981,128,5.474609038909005e-05,1.881639914568051,0.42942992468768165,64,3,0.37684284451657507,4,"[30, 60, 120]",0.00043266197633573094,PRUNED
47,47,7.332008864421249,2025-05-30 15:23:52.398559,2025-05-30 15:23:54.386453,0 days 00:00:01.987894,32,0.001276063585873139,2.451964755202868,0.47646244726292997,32,2,0.3389630260668871,2,"[30, 30, 30]",1.1068286996411253e-05,PRUNED
48,48,1.781113890828832,2025-05-30 15:23:54.386762,2025-05-30 15:23:55.095287,0 days 00:00:00.708525,128,1.0341690344443728e-05,2.753190649802008,0.23292532174618136,128,1,0.3108312339897932,2,"[30, 60, 120]",3.5430918090776626e-06,PRUNED
49,49,1.4281564192311154,2025-05-30 15:23:55.095588,2025-05-30 15:23:56.321100,0 days 00:00:01.225512,64,1.9677365959844854e-05,2.031793219058536,0.3083310793484315,128,2,0.4290060592158137,2,"[30, 30, 30]",1.6323629270225625e-06,PRUNED
